year,month,day_of_month,day_of_week,total_trains_on_route,total_schedules_by_day,avg_stops_per_train,cancelled_trains_by_day,cancelled_stops_by_day,delay_count_by_day,delay_rate,delay_count_arrivals,delay_count_departures,max_delay_minutes,avg_delay_minutes,median_delay_minutes,delays_5_15min,delays_15_30min,delays_30_60min,delays_over_60min,first_stop_delay_count,delay_propagation_ratio,delay_count_by_train_type,top_10_common_delays,rolling_delay_rate_7d
2024,1,2,2,212,18672,88.08,18,1214,12791,0.685,6413,6378,236,41.58,22.0,4132,3592,2137,2930,79,0.0118,"{""IC"": 8943, ""S"": 2402, ""PYO"": 788, ""HDM"": 226, ""MV"": 432}","[5, 6, 11, 8, 7, 10, 15, 9, 16, 13]",0.3724
2024,1,3,3,209,18658,89.27,13,814,12521,0.6711,6277,6244,261,37.19,21.0,4331,3747,2307,2136,71,0.0124,"{""IC"": 9042, ""S"": 2222, ""PYO"": 714, ""HDM"": 240, ""MV"": 303}","[5, 6, 11, 10, 7, 9, 12, 8, 13, 14]",0.4271
2024,1,4,4,213,18698,87.78,25,1566,11840,0.6332,5937,5903,403,64.72,33.0,3277,2125,2276,4162,63,0.0097,"{""IC"": 8505, ""S"": 1723, ""PYO"": 890, ""HDM"": 233, ""MV"": 489}","[5, 6, 7, 9, 8, 12, 10, 13, 11, 14]",0.4855
2024,1,5,5,218,19320,88.62,53,2686,12095,0.626,6069,6026,266,41.3,26.0,3574,2960,3306,2255,69,0.01,"{""IC"": 9130, ""S"": 1783, ""PYO"": 811, ""HDM"": 246, ""MV"": 125}","[8, 7, 9, 6, 10, 5, 20, 12, 11, 14]",0.5333
2024,1,6,6,174,16130,92.7,33,1534,9851,0.6107,4934,4917,212,31.67,15.0,4751,2268,1424,1408,46,0.0095,"{""IC"": 7559, ""S"": 1246, ""PYO"": 815, ""HDM"": 183, ""MV"": 48}","[5, 8, 6, 7, 9, 10, 12, 11, 13, 14]",0.5795
2024,1,7,7,187,16324,87.29,47,1972,9777,0.5989,4902,4875,184,30.62,20.0,3880,2308,2286,1303,51,0.011,"{""IC"": 7867, ""S"": 1178, ""PYO"": 316, ""HDM"": 137, ""MV"": 279}","[5, 6, 7, 12, 8, 10, 11, 9, 14, 13]",0.6187
2024,1,8,1,207,18222,88.03,48,1790,8859,0.4862,4442,4417,166,22.23,13.0,5058,2282,913,606,23,0.0105,"{""IC"": 6487, ""S"": 1682, ""PYO"": 335, ""HDM"": 99, ""MV"": 256}","[5, 6, 8, 7, 9, 10, 11, 12, 13, 14]",0.6159
2024,1,9,2,205,18014,87.87,43,1756,7827,0.4345,3929,3898,105,14.12,11.0,4910,2454,423,40,24,0.0168,"{""IC"": 6155, ""S"": 1347, ""PYO"": 58, ""HDM"": 124, ""MV"": 143}","[5, 6, 7, 8, 10, 9, 11, 12, 15, 14]",0.5801
2024,1,10,3,208,18390,88.41,34,1312,6624,0.3602,3326,3298,150,19.58,12.0,4070,1452,785,317,21,0.0163,"{""IC"": 5005, ""S"": 1208, ""PYO"": 32, ""HDM"": 88, ""MV"": 291}","[5, 6, 7, 8, 10, 9, 12, 13, 11, 14]",0.5357
2024,1,11,4,201,17718,88.15,1,20,4919,0.2776,2474,2445,130,16.37,10.0,3348,1039,330,202,19,0.0198,"{""IC"": 3906, ""S"": 660, ""PYO"": 329, ""HDM"": 24}","[5, 6, 7, 8, 9, 10, 15, 11, 12, 13]",0.4849
2024,1,12,5,210,18624,88.69,0,0,10316,0.5539,5171,5145,321,33.56,16.0,4794,2469,1497,1556,44,0.0117,"{""IC"": 8018, ""S"": 1631, ""PYO"": 357, ""HDM"": 96, ""MV"": 214}","[5, 6, 7, 8, 9, 10, 11, 15, 12, 14]",0.4746
2024,1,13,6,177,15656,88.45,4,94,8344,0.533,4187,4157,78,17.81,13.0,4584,2647,808,305,44,0.0148,"{""IC"": 6017, ""S"": 1875, ""PYO"": 265, ""HDM"": 183, ""MV"": 4}","[5, 6, 9, 10, 12, 8, 11, 7, 13, 14]",0.4635
2024,1,14,7,181,15986,88.32,6,160,7670,0.4798,3848,3822,71,17.66,13.0,4388,1949,1237,96,34,0.017,"{""IC"": 6001, ""S"": 1288, ""PYO"": 178, ""HDM"": 120, ""MV"": 83}","[5, 6, 7, 10, 11, 9, 8, 12, 14, 15]",0.4465
2024,1,15,1,201,17866,88.89,13,428,8902,0.4983,4464,4438,124,20.57,14.0,4661,2544,1305,392,29,0.0151,"{""IC"": 6980, ""S"": 1659, ""PYO"": 57, ""HDM"": 83, ""MV"": 123}","[5, 6, 8, 7, 10, 9, 11, 12, 15, 16]",0.4482
2024,1,16,2,199,17690,88.89,20,414,9784,0.5531,4910,4874,227,28.52,15.0,4720,2524,1609,931,41,0.0105,"{""IC"": 7739, ""S"": 1609, ""PYO"": 317, ""HDM"": 119}","[5, 6, 7, 8, 9, 12, 10, 11, 13, 14]",0.4651
2024,1,17,3,201,17818,88.65,4,80,8012,0.4497,4026,3986,173,19.45,12.0,4643,2117,900,352,34,0.0154,"{""IC"": 6187, ""S"": 1193, ""PYO"": 399, ""HDM"": 149, ""MV"": 84}","[5, 6, 7, 10, 8, 9, 12, 11, 13, 14]",0.4779
2024,1,18,4,207,18132,87.59,6,310,10804,0.5959,5411,5393,175,29.26,17.0,4795,3000,1552,1457,56,0.0122,"{""IC"": 8965, ""S"": 1320, ""PYO"": 175, ""HDM"": 164, ""MV"": 180}","[7, 6, 5, 8, 9, 11, 10, 12, 14, 15]",0.5234
2024,1,19,5,210,18470,87.95,6,218,10967,0.5938,5494,5473,179,21.38,13.0,5898,2989,1553,527,52,0.0146,"{""IC"": 8470, ""S"": 2030, ""PYO"": 283, ""HDM"": 174, ""MV"": 10}","[5, 6, 8, 9, 7, 10, 11, 12, 14, 13]",0.5291
2024,1,20,6,175,15656,89.46,10,722,8843,0.5648,4437,4406,85,18.02,14.0,4591,3016,973,263,37,0.015,"{""IC"": 7106, ""S"": 1327, ""PYO"": 186, ""HDM"": 182, ""MV"": 42}","[5, 9, 6, 8, 10, 7, 11, 12, 13, 16]",0.5336
2024,1,21,7,177,15660,88.47,13,630,6806,0.4346,3415,3391,235,25.86,12.0,3949,1640,704,513,35,0.0121,"{""IC"": 5207, ""S"": 1183, ""PYO"": 241, ""HDM"": 139, ""MV"": 36}","[5, 6, 7, 8, 12, 10, 9, 13, 11, 14]",0.5272
2024,1,22,1,203,17796,87.67,9,300,9242,0.5193,4638,4604,145,24.3,15.0,4600,2235,1340,1067,46,0.0117,"{""IC"": 7270, ""S"": 1611, ""PYO"": 247, ""HDM"": 114}","[6, 5, 7, 8, 9, 10, 11, 15, 12, 13]",0.5302
2024,1,23,2,207,18024,87.07,9,404,7502,0.4162,3759,3743,274,23.16,13.0,4183,1979,1051,289,36,0.013,"{""IC"": 6026, ""S"": 1037, ""PYO"": 160, ""HDM"": 189, ""MV"": 90}","[5, 6, 7, 8, 9, 10, 12, 14, 13, 11]",0.5106
2024,1,24,3,199,17690,88.89,1,60,5236,0.296,2623,2613,261,28.92,10.0,3745,744,84,663,16,0.0125,"{""IC"": 4315, ""S"": 613, ""PYO"": 240, ""HDM"": 68}","[5, 6, 7, 10, 8, 9, 11, 13, 12, 14]",0.4887
2024,1,25,4,207,17906,86.5,9,230,6221,0.3474,3124,3097,190,22.95,10.0,4096,945,519,661,28,0.0164,"{""IC"": 4706, ""S"": 1093, ""PYO"": 154, ""HDM"": 186, ""MV"": 76, ""V"": 6}","[5, 6, 9, 7, 8, 10, 11, 15, 13, 12]",0.4532
2024,1,26,5,212,18536,87.43,3,80,7271,0.3923,3640,3631,78,14.01,10.0,4876,1689,649,57,29,0.0189,"{""IC"": 6097, ""S"": 896, ""PYO"": 107, ""HDM"": 157, ""MV"": 14}","[5, 6, 7, 8, 9, 10, 11, 12, 13, 15]",0.4244
2024,1,27,6,177,15668,88.52,0,0,4888,0.312,2458,2430,78,14.01,11.0,3133,1414,329,12,17,0.0218,"{""S"": 810, ""IC"": 4012, ""PYO"": 44, ""HDM"": 22}","[5, 7, 6, 8, 9, 13, 16, 12, 10, 14]",0.3883
2024,1,28,7,174,15634,89.85,2,60,4183,0.2676,2094,2089,64,12.3,9.0,3240,675,245,23,16,0.0244,"{""IC"": 3452, ""S"": 596, ""PYO"": 71, ""HDM"": 64}","[5, 6, 7, 9, 8, 10, 13, 11, 12, 14]",0.3644
2024,1,29,1,201,17742,88.27,0,0,5094,0.2871,2556,2538,96,17.29,11.0,3287,927,688,192,21,0.0185,"{""IC"": 4247, ""S"": 651, ""PYO"": 123, ""HDM"": 69, ""MV"": 4}","[5, 6, 7, 8, 9, 10, 12, 11, 14, 13]",0.3312
